new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa,txt,mx
[x],admin.pandora.digital,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],admin2.pandora.digital,20.211.64.0,,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,"pandora-market-bot-admin-prod3.azurewebsites.net, waws-prod-sy3-073.sip.azurewebsites.windows.net, waws-prod-sy3-073-d8d7.australiaeast.cloudapp.azure.com",,,
[x],api.pandora.digital,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],beta.pandora.digital,"188.114.96.4, 188.114.97.4","2a06:98c1:3121::3, 2a06:98c1:3120::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dataseed6.pandora.digital,"172.67.193.76, 104.21.90.11","2606:4700:3034::6815:5a0b, 2606:4700:3037::ac43:c14c","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dev.pandora.digital,"104.21.90.11, 172.67.193.76","2606:4700:3034::6815:5a0b, 2606:4700:3037::ac43:c14c","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],devapi.pandora.digital,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],docs.pandora.digital,"104.18.3.117, 104.18.2.117","2606:4700::6812:275, 2606:4700::6812:375","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,pandora-digital.gitbook.io,"digicert.com, letsencrypt.org, pki.goog",,
[x],graphql.pandora.digital,"104.21.90.11, 172.67.193.76","2a06:98c1:3121::, 2a06:98c1:3120::","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],invest-api.pandora.digital,"172.67.193.76, 104.21.90.11",,"julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],invest-testnet.pandora.digital,,,"julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],invest-testnetapi.pandora.digital,"172.67.193.76, 104.21.90.11","2a06:98c1:3120::3, 2a06:98c1:3121::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],invest.pandora.digital,,,"julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],launchpadapi.pandora.digital,"104.21.90.11, 172.67.193.76","2606:4700:3037::ac43:c14c, 2606:4700:3034::6815:5a0b","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],news.pandora.digital,"104.21.90.11, 172.67.193.76","2606:4700:3037::ac43:c14c, 2606:4700:3034::6815:5a0b","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,google-site-verification=AuJI-mQvnLH7HGEai4DpkulZvdjkK-dS-ZMFv0Jh8qA,
[x],papi.pandora.digital,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],partner.pandora.digital,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],portal.pandora.digital,"188.114.97.3, 188.114.96.3","2606:4700:3034::6815:5a0b, 2606:4700:3037::ac43:c14c","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],sepolia-testnet.pandora.digital,"188.114.97.3, 188.114.96.3","2606:4700:3034::6815:5a0b, 2606:4700:3037::ac43:c14c","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],stagingapi.pandora.digital,"172.67.193.76, 104.21.90.11","2a06:98c1:3121::3, 2a06:98c1:3120::3","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],url477.pandora.digital,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83",,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"amazonaws.com, godaddy.com","p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, mailru-verification: 2e3995fa8a7d00e0","mx.sendgrid.net, mx2.sendgrid.net"
[x],www.pandora.digital,"172.67.193.76, 104.21.90.11","2606:4700:3034::6815:5a0b, 2606:4700:3037::ac43:c14c","julian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,v=spf1 -all,
