input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_wildcard_certificate,tls_mismatched,csp_domains_
8v3jdzq4vg-dev.arlo.com,Origin DNS error | 8v3jdzq4vg-dev.arlo.com | Cloudflare,530,6219,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,8v3jdzq4vg-dev.arlo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4bf1cd1cc74705536c0ce1b736ebce1a,b432d21fe35d03d9bf771d4434733092e035af498792c433eb670169446b8199,ctls,8v3jdzq4vg-dev.arlo.com,cloudflare,443,https://8v3jdzq4vg-dev.arlo.com:443,https,cloudflare,text/html,GET,104.18.4.142,/,1388808573,104.18.5.142,Cloudflare,93,False,True,,,,
abbott-9.arlo.com,Vertex O Series,200,876,AS16509,AS16509,Unknown,52.216.72.0/24,abbott-9.arlo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2024-03-19T23:59:59Z,CN=abbott-9.arlo.com,abbott-9.arlo.com,,abbott-9.arlo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c8fe432b79004762bc073cd01d9e9606,ecda16c39774b57d268cea9af0fac221b32897d915fff51bf409484ea50b0f9e,ctls,abbott-9.arlo.com,,443,https://abbott-9.arlo.com:443,https,,text/html,GET,52.211.133.202,/,1423005458,52.16.54.80,Amazon Web Services,44,False,,,,,
activate-canary.arlo.com,,503,,AS16509,AS16509,Unknown,46.137.0.0/16,,,,,,,,,,,,,,,,,,,,80,http://activate-canary.arlo.com:80,http,,,GET,46.137.181.175,/,-1840324437,46.137.181.175,,1,False,,,,,
activate.arlo.com,,503,,AS16509,AS16509,Unknown,18.200.0.0/14,activate.arlo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-08-23T23:59:59Z,CN=activate.arlo.com,activate.arlo.com,,activatearlo.arlo.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,405005e0aa5703dd2e3500a1353e286d,ed74a9a986ea0942eb9b8e7fba90eedc54472e3c9a79490453be4aa986282629,ctls,activate.arlo.com,,443,https://activate.arlo.com:443,https,,,GET,18.202.113.160,/,-1840324437,18.202.113.160,,1,False,,,,,
activategoldendev-canary.arlo.com,,503,,AS16509,AS16509,Unknown,52.216.72.0/24,activategoldendev-canary.arlo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-07-28T23:59:59Z,CN=activategoldendev-canary.arlo.com,activategoldendev-canary.arlo.com,,arlodealer-goldendev-canary.arlocloud.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d76ea4e8ff0cbaab432d044ebd6c9600,158aa39c61ca09a0c8e16cdbe04b8763daed790693898c223b8c116ce1712833,ctls,activategoldendev-canary.arlo.com,,443,https://activategoldendev-canary.arlo.com:443,https,,,GET,52.208.172.122,/,-1840324437,52.215.26.226,,1,False,,,,,
activategoldenqa.arlo.com,,503,,AS16509,AS16509,Unknown,52.216.72.0/24,,,,,,,,,,,,,,,,,,,,80,http://activategoldenqa.arlo.com:80,http,,,GET,52.215.129.139,/,-1840324437,52.215.129.139,,1,False,,,,,
activateqa2.arlo.com,,503,,AS16509,AS16509,Unknown,54.194.0.0/15,,,,,,,,,,,,,,,,,,,,80,http://activateqa2.arlo.com:80,http,,,GET,54.195.238.122,/,-1840324437,52.19.107.54,,1,False,,,,,
activateqa3.arlo.com,,503,,AS16509,AS16509,Unknown,52.216.72.0/24,activateqa3.arlo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-11T00:00:00Z,2023-07-10T23:59:59Z,CN=activateqa3.arlo.com,activateqa3.arlo.com,,activateqa3.arlo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9bd910cdb6dec8fdad32f06ec8991874,a35bda632abcf48d2634f1cf1de42b2d2810902ed02bebd4832a440857d9f9c4,ctls,activateqa3.arlo.com,,443,https://activateqa3.arlo.com:443,https,,,GET,52.211.29.144,/,-1840324437,52.211.29.144,,1,False,,,,,
api.arlo.com,502 Bad Gateway,502,122,AS16509,AS16509,Unknown,54.64.0.0/12,api.arlo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-18T00:00:00Z,2024-03-18T23:59:59Z,CN=api.arlo.com,api.arlo.com,,api.arlo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4dfbac22cf14bbf4c60c1e9b135e9fb2,03c708f027c8b4700de1d7ad90c2c17d86a26736097fb99196416b67f68eec4b,ctls,api.arlo.com,,443,https://api.arlo.com:443,https,awselb/2.0,text/html,GET,54.77.128.178,/,590066698,52.16.50.64,,7,False,,,,,
apigoldendevz1.arlo.com,,404,96,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,apigoldendevz1.arlo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-02T06:57:50Z,2023-08-26T06:57:50Z,"CN=apigoldendevz1.arlo.com, O=Arlo Technologies\, Inc., L=Milpitas, ST=California, C=US",apigoldendevz1.arlo.com,"Arlo Technologies, Inc.",apigoldenqaz1.arlo.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",b817dbcf871fa736143500f1968ed9a5,79496072644d9f56186eb889270f50413439689f204175a9c7db459d400bb709,ctls,apigoldendevz1.arlo.com,cloudflare,443,https://apigoldendevz1.arlo.com:443,https,cloudflare,application/json,GET,104.18.2.59,/,84204513,2606:4700::6812:33b,Cloudflare Bot Management,1,False,True,,,,
