new,host,a,soa,status_code,ns,cname,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],apiqa.arlo.com,34.243.127.4,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,apiqa-199541851.eu-west-1.elb.amazonaws.com,,,,,,,
[x],apistaging.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],ar.arlo.com,,"pdns88.ultradns.com, mshah.netgear.com",NOERROR,"pdns88.ultradns.org, pdns88.ultradns.net, pdns88.ultradns.biz, pdns88.ultradns.com",,,,,,,,
[x],aria.arlo.com,208.184.50.40,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,redirect.arlo.com,,,,,,,
[x],arlo-device-goldendev-canary.messaging.arlo.com,"52.19.3.84, 54.246.231.3","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloDeviceGoldenDev-canary-575930980.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-device-goldendev.messaging.arlo.com,"52.16.153.103, 52.210.63.135","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",ArloDeviceGoldenDev-167213463.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-device-goldenqa-canary.messaging.arlo.com,54.194.201.173,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloDevicegoldenqa-canary-1356567354.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-device-goldenqa.messaging.arlo.com,"54.77.153.245, 52.51.238.77","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-device-goldenqa.messaging.arlo.com.cdn.cloudflare.net,,,,,,,
[x],arlo-device-qa.messaging.arlo.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-device-qa.messaging.arlo.com.cdn.cloudflare.net,,,,,,,
[x],arlo-device-qa2.messaging.arlo.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-device-qa2.messaging.arlo.com.cdn.cloudflare.net,,,,,,,
[x],arlo-device-qa3.messaging.arlo.com,"104.18.14.221, 104.18.15.221","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-device-qa3.messaging.arlo.com.cdn.cloudflare.net,True,cloudflare,,,,,
[x],arlo-device-qa4.messaging.arlo.com,"104.18.4.231, 104.18.5.231","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-device-qa4.messaging.arlo.com.cdn.cloudflare.net,True,cloudflare,,,,,
[x],arlo-device-secure-staging.messaging.arlo.com,"34.248.136.196, 52.215.79.212","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,ArloSecDeviceStaging-b30378fa62d9fb68.elb.eu-west-1.amazonaws.com,,,,,,,
[x],arlo-device-staging-canary.messaging.arlo.com,52.30.144.157,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlo-device-staging-canary-1575921012.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-device.messaging.arlo.com,"52.17.147.90, 52.51.195.192","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlodeviceprodlb-n-793345458.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-livestream01-goldendev-z1.ar.arlo.com,54.72.85.69,"pdns88.ultradns.com, mshah.netgear.com",NOERROR,,,,,,,,,
[x],arlo-livestream01-goldendev-z3.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1377.awsdns-44.org, ns-1854.awsdns-39.co.uk, ns-336.awsdns-42.com, ns-726.awsdns-26.net",,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],arlo-livestream01-staging-z2.arlo.com,54.148.86.3,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream01-staging-z3.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],arlo-livestream02-goldendev-z1.arlo.com,52.208.213.193,,NOERROR,,,,,,,,,
[x],arlo-livestream02-goldendev-z4.arlo.com,13.250.66.209,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream02-staging-z2.arlo.com,54.203.148.136,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream04-goldendev-z4.arlo.com,"52.74.247.174, 18.139.169.59","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,2406:da18:15b:f511:84db:21a7:a00f:4ab9,,,
[x],arlo-livestream10-goldendev-z1.arlo.com,54.75.185.86,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream12-goldendev-z1.arlo.com,34.254.108.245,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream12-goldendev-z4.arlo.com,175.41.191.140,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream13-goldendev-z1.arlo.com,54.247.10.6,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream13-goldendev-z4.arlo.com,18.139.213.230,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
