new,host,a,aaaa,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,ns,cname,txt,caa,mx
[x],1024.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],a.dailymotion.com,195.8.214.1,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ablink.partner.dailymotion.com,188.65.124.84,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lbprod.dailymotion.com,,,
[x],about.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
[x],accim-e-jmin-adm.vid2.ll.dmcdn.net,95.140.237.140,,"dns23.llnwd.net, hostmaster.llnwd.net",,,NOERROR,,,,,,,
[x],addir-stage01.dailymotion.com,188.65.124.67,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-04-pub-stg-ix7.vip.dailymotion.com,,,
[x],addirector-debug.dmxleo.com,35.240.109.65,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
[x],addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com,35.233.16.81,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],addirector-mgmt-staging-cloud-europewest1.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.addirector-mgmt-staging-cloud-europewest1.dmxleo.com",True,0.0.0.0,NOERROR,True,google,,,,,
[x],addirector-prod-onprem-nyc.dmxleo.com,198.54.201.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],addirector-prod-onprem-sg1.dmxleo.com,103.195.32.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],addirector-prod-onprem-sv4.dmxleo.com,198.54.200.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],addirector-ui-staging-cloud-europewest1.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.addirector-ui-staging-cloud-europewest1.dmxleo.com",True,0.0.0.0,NOERROR,True,google,,,,,
[x],adminvod-dev.dailymotion.com,54.247.174.200,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,dmvod-sandbox.dailymotion.com,,,
[x],advertisers.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
