new,host,a,soa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,cname,caa,mx,txt,ns
[x],beta-cms.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
[x],dev-cms.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
[x],web1643.cyberghost.com,54.144.128.85,,NOERROR,,,,,,,,,,
,account.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,adminv2.cyberghostvpn.com,54.247.98.73,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,analytics-elk.cyberghostvpn.com,34.243.102.9,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,api.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,api2.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,assets.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,banners.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,beta-api.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,beta-pro.cyberghostvpn.com,,,NOERROR,,,,,,,,,,
,beta-www.cyberghostvpn.com,46.137.156.101,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,bindist.cyberghostvpn.com,185.93.180.141,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,cg-dev-lp.cyberghostvpn.com,"63.34.130.179, 54.170.233.3, 54.195.103.4","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,adda9b050770345c49a1315ee9467992-757730a4eb1016bb.elb.eu-west-1.amazonaws.com,,,,
,cg6-content.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,community.cyberghostvpn.com,,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
