new,host,soa,txt,status_code,a,cname,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,ns,mx,caa
[x],e2e-qbo-application-services.sbgcompppdusw2.iks2.a.intuit.com,"ns-1060.awsdns-04.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],e2e-sb04.apigwsbgppdusw2.iks2.a.intuit.com,"ns-1458.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-sbg-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwsbg-usw2-e2e-sb04/usw2-e2e-sb04-intuit-gateway-ingress",NOERROR,"52.11.6.182, 52.26.116.225, 52.34.101.175",,,,,,,,,
[x],e2e-sso-lambda.authoring-lite.preprod-cms.a.intuit.com,,,NOERROR,"13.225.78.122, 13.225.78.11, 13.225.78.60, 13.225.78.111",,,,True,cloudfront,,,,
[x],e2e-txts.txe-preprod.a.intuit.com,"ns-1750.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"35.155.174.245, 44.241.24.31, 34.218.112.14",,,,,,,,,
[x],e2e-ui.trep.preprod.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,54.69.216.114,trep-pub-alb-474400835.us-west-2.elb.amazonaws.com,,,,,,,,
[x],e2e-vbdservice-master-active.us-west-2.ppd-sbg-mm.a.intuit.com,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],e2e-vbdservice-master-ready.us-west-2.ppd-sbg-mm.a.intuit.com,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],e2e-vertica-sbg.a.intuit.com,"ns-174.awsdns-21.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,"ns-1347.awsdns-40.org, ns-1594.awsdns-07.co.uk, ns-174.awsdns-21.com, ns-628.awsdns-14.net",,
[x],e2e.api.intuit.com,"ns-1458.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-sbg-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwsbg-usw2-e2e-sb07/usw2-e2e-sb07-intuit-gateway-ingress",NOERROR,"34.215.210.164, 35.164.95.149, 35.165.171.3","e2e-com.e2e.api.a.intuit.com, e2e-com-us-west-2.e2e.api.a.intuit.com, sw7_us-west-2_web.e2e.api.a.intuit.com, dial_sw7_us-west-2_web.e2e.api.a.intuit.com, e2e-sb07.apigwsbgppdusw2.iks2.a.intuit.com",,,,,,"ns-1015.awsdns-62.net, ns-1458.awsdns-54.org, ns-1880.awsdns-43.co.uk, ns-468.awsdns-58.com",,
[x],e2e.api.notify.intuit.com,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com",,NOERROR,,"e2e.api.sbg-idg-notify-ppd.a.intuit.com, e2e-master-sbg-idg-notify-api-active.sbg-idg-notify-ppd.a.intuit.com",,,,,,,,
[x],e2e.appfabric.intuit.com,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=ip-uxfabric-ppd-use2-k8s,external-dns/resource=ingress/app-shellservice-use2-e2e/shell-service-ingress-standard",NOERROR,"3.134.214.106, 3.13.143.72, 3.140.46.210","sh-standard.sh-preprod.a.intuit.com, app-e2e-shell-service.ipuxfabricppduse2.iks2.a.intuit.com",,,,,,,,
[x],e2e.authoring-lite.preprod-cms.a.intuit.com,,,NOERROR,"18.66.122.85, 18.66.122.50, 18.66.122.96, 18.66.122.95",,,,True,cloudfront,,,,
[x],e2e.cdn.cas.preprod-cms.a.intuit.com,"ns-1498.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.208.103, 13.32.208.45, 13.32.208.58, 13.32.208.61, 205.251.193.221, 205.251.194.170, 205.251.197.218, 205.251.198.58",d2m52ex1lw4ymh.cloudfront.net,,,True,cloudfront,,"ns-682.awsdns-21.net, ns-477.awsdns-59.com, ns-1594.awsdns-07.co.uk, ns-1498.awsdns-59.org",,
[x],e2e.ens.a.intuit.com,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",,NOERROR,"54.68.11.99, 52.26.92.243, 44.238.168.96",d-0tkqvk1coh.execute-api.us-west-2.amazonaws.com,,,,,,,,
[x],e2e.icn.enterprise.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,50.17.72.218,,,,,,,,,
[x],e2e.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"23.213.161.8, 23.213.161.16","redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],e2e.martech-fmd-eloqua.a.intuit.com,"ns-140.awsdns-17.com, awsdns-hostmaster.amazon.com",,NOERROR,"54.189.222.186, 15.254.17.162, 44.240.124.0",,,,,,,,,
[x],e2e.ppd-sbg-idg.static.developer.a.intuit.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.118, 52.222.139.111, 52.222.139.78, 52.222.139.49",,,,True,cloudfront,,,,
[x],e2e.pre-prod-aws.mint.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"35.83.79.11, 44.241.32.208, 35.81.116.182",e2e20-publi-12e0j2x0y68eg-859148399.us-west-2.elb.amazonaws.com,,,,,,,,
[x],e2e.ps.idps.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,"vkm-e2e.ps.idps.a.intuit.com, dome-vkm-e2e-intuit-us-west-2-1535254631.us-west-2.elb.amazonaws.com",,,,,,,,
[x],e2e.qa.tcontent.ppd.a.intuit.com,"ns-1721.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],e2e.qef.accountants.intuit.com,"ns-115.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,"108.157.229.65, 108.157.229.124, 108.157.229.8, 108.157.229.22",accounts.e2e.preprod-qef.a.intuit.com,,,True,cloudfront,,,,
[x],e2e.quickbooks.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p04.nsone.net",,NOERROR,,,,,,,,,,
[x],e2e.quickemployerforms.intuit.com,"ns-115.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.112.28, 18.66.112.62, 18.66.112.121, 18.66.112.104",e2e.preprod-qef.a.intuit.com,,,True,cloudfront,,,,
[x],e2e.shopping.prior-year.intuit.com,"ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.97.60, 18.66.97.13, 18.66.97.101, 18.66.97.83",,,,True,cloudfront,,,,
[x],e2e.spur-batch-preprod.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,44.224.187.81,spur-e2e-pub-cd-897633027.us-west-2.elb.amazonaws.com,,,,,,,,
[x],e2e.static.developer.intuit.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.78, 52.222.139.49, 52.222.139.118, 52.222.139.111",e2e.ppd-sbg-idg.static.developer.a.intuit.com,,,True,cloudfront,,,,
[x],e2e.turbotaxonline.intuit.com,"dns1.p06.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,,,,,,,,,,
[x],e2e.workflow-service.intuit.com,"ns-896.awsdns-48.net, awsdns-hostmaster.amazon.com",,NOERROR,,e2e.ppd-workflow-service.a.intuit.com,,,,,,,,
[x],e2ews.estore101.a.intuit.com,"ns-235.awsdns-29.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.27.9.40, 54.68.55.113, 44.235.217.59",,,,,,,,,
[x],ea.a.intuit.com,"ns-23.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,"ns-23.awsdns-02.com, ns-797.awsdns-35.net, ns-1440.awsdns-52.org, ns-1705.awsdns-21.co.uk",,
[x],eas.a.intuit.com,"ns-503.awsdns-62.com, awsdns-hostmaster.amazon.com",,NOERROR,"13.58.63.117, 18.224.227.84, 3.12.252.22",,,,,,,"ns-503.awsdns-62.com, ns-567.awsdns-06.net, ns-1408.awsdns-48.org, ns-1925.awsdns-48.co.uk",,
[x],eas.epmhyp.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.34.32.158, 35.162.6.195",hypeas-alb-593636395.us-west-2.elb.amazonaws.com,,,,,,,,
[x],east.logging-prod.a.intuit.com,"ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],easycare.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"23.32.238.51, 23.32.238.67","redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],easypaychecks.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,54.204.149.44,,,,,,,,,
[x],ebiz-pre-production-71aa9y.pd.idps.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,44.235.235.26,ebiz-preprod-71aa9y-1322387.us-west-2.elb.amazonaws.com,,,,,,,,
[x],ebp6.e2ews.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.40.47.99, 44.238.39.74, 50.112.24.119",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,"ns-1299.awsdns-34.org, ns-1612.awsdns-09.co.uk, ns-446.awsdns-55.com, ns-930.awsdns-52.net",,
[x],ebp6.enterprisesuite.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.238.39.74, 52.40.47.99, 50.112.24.119",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.lacerte.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"50.112.24.119, 44.238.39.74, 52.40.47.99",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.online.payroll.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.238.39.74, 50.112.24.119, 52.40.47.99",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.payroll.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"50.112.24.119, 44.238.39.74, 52.40.47.99",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.pointofsale.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.238.39.74, 50.112.24.119, 52.40.47.99",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.proadvisor.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,,ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.proseries.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"50.112.24.119, 52.40.47.99, 44.238.39.74",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebp6.quickbooks.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.40.47.99, 44.238.39.74, 50.112.24.119",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,"ns-1299.awsdns-34.org, ns-1612.awsdns-09.co.uk, ns-446.awsdns-55.com, ns-930.awsdns-52.net",,
[x],ebp6.selfservice.intuit.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,"50.112.24.119, 52.40.47.99, 44.238.39.74",ebp6.quickbooks.estore101-pp.a.intuit.com,,,,,,,,
[x],ebpi-preprod.a.intuit.com,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,"ns-227.awsdns-28.com, ns-712.awsdns-25.net, ns-1270.awsdns-30.org, ns-1654.awsdns-14.co.uk",,
[x],ebpi.a.intuit.com,"ns-1796.awsdns-32.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,"ns-1399.awsdns-46.org, ns-335.awsdns-41.com, ns-615.awsdns-12.net, ns-1796.awsdns-32.co.uk",,
[x],ecco.intuit.com,"dns1.p06.nsone.net, nadmin.intuit.com, a18-64.akam.net",,NOERROR,172.17.49.25,newscentral2.corp.intuit.net,True,172.17.49.25,,,,,,
[x],ed.a.intuit.com,"ns-4.awsdns-00.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,"ns-1402.awsdns-47.org, ns-1627.awsdns-11.co.uk, ns-4.awsdns-00.com, ns-776.awsdns-33.net",,
[x],ed.ds-e2e.a.intuit.com,"ns-15.awsdns-01.com, awsdns-hostmaster.amazon.com",,NOERROR,"10.122.68.166, 10.122.75.6, 10.122.84.232",,True,"10.122.68.166, 10.122.75.6, 10.122.84.232",,,,,,
[x],ed.ds.a.intuit.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"10.77.152.148, 10.77.152.13, 10.77.152.85",,True,"10.77.152.148, 10.77.152.13, 10.77.152.85",,,,,,
[x],eda.intuit.com,"ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",,NOERROR,,eda.a.intuit.com,,,,,,"ns-1010.awsdns-62.net, ns-152.awsdns-19.com, ns-1526.awsdns-62.org, ns-1593.awsdns-07.co.uk",,
[x],edelivery-production-1299ol.pd.idps.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"54.186.46.220, 52.42.147.124",edelivery-prod-1299ol-382347653.us-west-2.elb.amazonaws.com,,,,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,
[x],edg-e2e-ppd.a.intuit.com,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",,NOERROR,"44.239.130.169, 35.167.46.132, 34.214.56.30",,,,,,,"ns-1987.awsdns-56.co.uk, ns-785.awsdns-34.net, ns-1097.awsdns-09.org, ns-150.awsdns-18.com",,
[x],edg.a.intuit.com,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",,NOERROR,"35.162.243.59, 35.82.177.192, 54.70.107.188",,,,,,,,,
[x],edgeservice-preprod.a.intuit.com,"ns-385.awsdns-48.com, awsdns-hostmaster.amazon.com",,NOERROR,"205.251.193.129, 205.251.194.142, 205.251.197.1, 205.251.198.197",,,,,,,"ns-654.awsdns-17.net, ns-1281.awsdns-32.org, ns-1733.awsdns-24.co.uk, ns-385.awsdns-48.com",,
[x],edgeservice-preprod.intuit.com,"ns-385.awsdns-48.com, awsdns-hostmaster.amazon.com",,NOERROR,,qal.edgeservice-preprod.a.intuit.com,,,,,,,,
[x],edm.irapps.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,216.254.197.95,,,,,,,,,
[x],edmvpn.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,207.207.170.32,,,,,,,,,
[x],education.intuit.com,"n0g.akamaiedge.net, hostmaster.akamai.com",,NOERROR,104.102.47.180,"vanity.mktg.intuit.com.edgekey.net, e13413.g.akamaiedge.net",,,,,,,,
[x],ef.intuit.com,"a18-64.akam.net, nadmin.intuit.com",,NOERROR,172.17.49.25,newscentral2.corp.intuit.net,True,172.17.49.25,,,,,,
[x],efeitgtmprodstatus-ttm.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.20.92.151, 3.137.33.125, 13.59.87.157","ttmac-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodstatus-ttw.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"13.59.87.157, 3.137.33.125, 3.20.92.151","ttwin-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodsubmit-ttw.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.137.33.125, 3.20.92.151, 13.59.87.157","ttwin-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodswstatus-lac.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.137.33.125, 3.20.92.151, 13.59.87.157","lacerte-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
