input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_self_signed,tls_expired
*.check.me,,200,194,AS16509,AS16509,Unknown,34.208.0.0/12,check.me,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-02T00:00:00Z,2023-10-03T23:59:59Z,"CN=mint.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",mint.intuit.com,INTUIT INC.,my.check.me,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2ee2d4fd19b3e538da19ca3307cb4c63,1c9ae97f9d7a849dfb458a102e596dffd8dcfd306328cdda1bf71195e9146cb7,ctls,check.me,,443,https://check.me:443,https,Mint App,text/html,GET,34.209.162.31,/,312952241,54.200.42.164,HSTS,8,False,,True,url=https://www.mint.com,,,,
*.creditkarma.com,Get your free score and more - Credit Karma,200,194728,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,www.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-01T00:00:00Z,2023-06-01T23:59:59Z,"CN=www.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US, serialNumber=7841076, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.creditkarma.com,"Credit Karma, LLC",creditkarma.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ae823e54dcf05f2ee9a6ddefc722342a,fa7d17dfdbcf79d76fae8ffb21bb6eba2d21593aadc9b7de180865ff94fc40c2,ctls,www.creditkarma.com,,443,https://creditkarma.com:443,https,CK-FG-server,text/html,GET,23.32.220.160,/,-1513862838,23.32.220.160,React,308,False,,,https://www.googleadservices.com,https://www.creditkarma.com/,,,
*.decibelinsight.com,Medallia Digital Experience Analytics - Medallia,200,55348,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.medallia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T16:20:26Z,2023-06-15T16:20:25Z,CN=blog.medallia.com,blog.medallia.com,,www.medallia.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1486087512cf2836b2e61f9c4136bc6e,e0082c7a7d94757008c59f765c223a46dafa222897ecc0451ec98f3d595a98d3,ctls,www.medallia.com,google,443,https://decibelinsight.com:443,https,Netlify,text/html,GET,104.198.14.52,/,-1998710492,104.198.14.52,Vue.js,44,False,True,,,https://www.medallia.com/products/digital-experience-analytics/?utm_campaign=decibelmerger,,,
*.dev-intuitb2b.cs2.force.com,Login | Salesforce,200,11681,AS14340,SALESFORCE,US,13.110.220.0/23,test.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=test.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",test.salesforce.com,"salesforce.com, inc.",test.cloudforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,24b68e5435cbe7ae8d8cf11092c6c2ef,ed096321e3b70b2e04de80fb8a796cd95439e2354d27bc1a95e3d6293cbfeac0,ctls,test.salesforce.com,,443,https://dev-intuitb2b.cs2.force.com:443,https,,text/html,GET,13.110.93.12,/,1433417005,13.110.1.12,HSTS,24,False,,,,https://test.salesforce.com,,,
*.ensighten.com,"Ensighten | Consent Management, Compliance, Client-Side Security",200,85303,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.ensighten.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T01:25:33Z,2023-06-26T01:25:32Z,CN=www.ensighten.com,www.ensighten.com,,www.ensighten.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2540cf332ae57bb04a7132dd4d02c4a9,5c98c781cd2a8ce9b3f862d213ca715e35bd8ae130d73eb9b0605509fed9132a,ctls,www.ensighten.com,cloudfront,443,https://ensighten.com:443,https,cloudflare,text/html,GET,108.156.60.28,/,686534776,2600:9000:2394:8e00:2:e5f4:97c0:93a1,HubSpot CMS Hub,1157,False,True,,,https://www.ensighten.com/,,,
*.func-intuitb2b.cs30.force.com,Login | Salesforce,200,11421,AS14340,SALESFORCE,US,13.110.220.0/23,test.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=test.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",test.salesforce.com,"salesforce.com, inc.",test.cloudforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,24b68e5435cbe7ae8d8cf11092c6c2ef,ed096321e3b70b2e04de80fb8a796cd95439e2354d27bc1a95e3d6293cbfeac0,ctls,test.salesforce.com,,443,https://func-intuitb2b.cs30.force.com:443,https,,text/html,GET,13.110.56.130,/,1433417005,13.110.61.130,HSTS,24,False,,,,https://test.salesforce.com,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.186.68,/,302920777,2a00:1450:4001:831::2004,HTTP/3,1831,False,,True,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,,,
*.google.com,Google,200,208691,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.186.46,/,708578229,2a00:1450:4001:82f::200e,HTTP/3,139,False,,,http:,https://www.google.com/,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.131,/,302920777,2a00:1450:4001:809::2003,HTTP/3,12,False,,True,,https://www.gstatic.com/,,,
*.intuit.ca,Intuit®: Canada Official Site | Powering Prosperity‎,200,397038,AS20940,AKAMAI-ASN1,NL,184.24.0.0/13,www.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,www.intuit.com,,443,https://intuit.ca:443,https,AmazonS3,text/html,GET,184.30.133.179,/,187191617,184.30.133.179,HSTS,82,False,,,*.intuit.com,https://www.intuit.com/ca/,,,
*.intuit.co.uk,"Smart, Simple Accounting Software | QuickBooks UK",200,212911,AS20940,AKAMAI-ASN1,NL,84.53.160.0/19,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://intuit.co.uk:443,https,AmazonS3,text/html,GET,84.53.164.173,/,-1372199317,84.53.164.173,HSTS,42,False,,,*.intuit.com,https://quickbooks.intuit.com/uk/,,,
